Username,Last name,First name,Email address,Status,Started,Completed,Duration,Grade/100.00,Question 1,Response 1,Right answer 1,Question 2,Response 2,Right answer 2,Question 3,Response 3,Right answer 3,Question 4,Response 4,Right answer 4
id_29558029,Hartman,Melissa,m.hartman@student.example.com,Finished,8/08/2025 17:01,12/08/2025 16:04,3 days 23 hours,80,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 2   ; Option 3,Option 1   ; Option 2,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 9; [[Drop zone 1]] -> {Option 9},{Drop zone 1 -> Option 9},{Drop zone 1 -> Option 9},Option 4      ; [[Drop zone 1]] -> {Option 4},{Drop zone 1 -> Option 4},{Drop zone 1 -> Option 4}
id_71787801,Hicks,Andre,a.hicks@student.example.com,Finished,8/08/2025 17:04,10/08/2025 17:18,2 days,58.33,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 3,Option 1   ; Option 2,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 7,Option 3   ; Option 4   ; Option 7,Option 8; [[Drop zone 1]] -> {Option 8},{Drop zone 1 -> Option 8},{Drop zone 1 -> Option 8},Option 14      ; [[Drop zone 1]] -> {Option 14},{Drop zone 1 -> Option 14},{Drop zone 1 -> Option 14}
id_34152306,Bridges,Joseph,j.bridges@student.example.com,Finished,8/08/2025 17:07,8/08/2025 17:37,30 mins 17 secs,87.5,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 2,Option 1   ; Option 2,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4,Option 3   ; Option 4,Option 5      ; [[Drop zone 1]] -> {Option 5},{Drop zone 1 -> Option 5},{Drop zone 1 -> Option 5},Option 7      ; [[Drop zone 1]] -> {Option 7},{Drop zone 1 -> Option 7},{Drop zone 1 -> Option 7}
id_68247223,Flowers,Brittany,b.flowers@student.example.com,Finished,8/08/2025 17:07,8/08/2025 17:37,30 mins 18 secs,79.17,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 7,Option 3   ; Option 4   ; Option 7,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 2,Option 1   ; Option 2,Option 2   ; [[Drop zone 1]] -> {Option 2}; [[Drop zone 2]] -> {Option 2}; [[Drop zone 3]] -> {Option 2},"{Drop zone 1 -> Option 2}, {Drop zone 2 -> Option 2}, {Drop zone 3 -> Option 2}","{Drop zone 1 -> Option 2}, {Drop zone 2 -> Option 2}, {Drop zone 3 -> Option 2}",Option 15; [[Drop zone 1]] -> {Option 15},{Drop zone 1 -> Option 15},{Drop zone 1 -> Option 15}
id_19895015,Lin,Dawn,d.lin@student.example.com,Finished,8/08/2025 17:08,13/08/2025 12:07,4 days 18 hours,80,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 2   ; Option 3,Option 1   ; Option 2,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 3   ; [[Drop zone 1]] -> {Option 3},{Drop zone 1 -> Option 3},{Drop zone 1 -> Option 3},Option 8; [[Drop zone 1]] -> {Option 8},{Drop zone 1 -> Option 8},{Drop zone 1 -> Option 8}
id_98909797,Berry,George,g.berry@student.example.com,Finished,8/08/2025 17:34,8/08/2025 17:37,2 mins 41 secs,91.67,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4,Option 3   ; Option 4,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 8; [[Drop zone 1]] -> {Option 8},{Drop zone 1 -> Option 8},{Drop zone 1 -> Option 8},Option 11; [[Drop zone 1]] -> {Option 11},{Drop zone 1 -> Option 11},{Drop zone 1 -> Option 11}
id_85432856,Whitehead,Alexander,a.whitehead@student.example.com,Finished,8/08/2025 17:38,8/08/2025 17:45,6 mins 27 secs,92.5,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 3   ; Option 4   ; Option 7,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4   ; Option 6,Option 3   ; Option 4,Option 7      ; [[Drop zone 1]] -> {Option 7},{Drop zone 1 -> Option 7},{Drop zone 1 -> Option 7},Option 2   ; [[Drop zone 1]] -> {Option 2}; [[Drop zone 2]] -> {Option 2}; [[Drop zone 3]] -> {Option 2},"{Drop zone 1 -> Option 2}, {Drop zone 2 -> Option 2}, {Drop zone 3 -> Option 2}","{Drop zone 1 -> Option 2}, {Drop zone 2 -> Option 2}, {Drop zone 3 -> Option 2}"
id_29232207,Hernandez,Larry,l.hernandez@student.example.com,Finished,8/08/2025 17:54,8/08/2025 17:58,4 mins 34 secs,100,Question text 3      : Option 3   ; Option 4   ; Option 5   ; Option 7,Option 3   ; Option 4   ; Option 7,Option 3   ; Option 4   ; Option 7,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4,Option 3   ; Option 4,Option 3   ; [[Drop zone 1]] -> {Option 3},{Drop zone 1 -> Option 3},{Drop zone 1 -> Option 3},Option 14      ; [[Drop zone 1]] -> {Option 14}; [[Drop zone 2]] -> {Option 14},{Drop zone 2 -> Option 14},"{Drop zone 1 -> Option 14}, {Drop zone 2 -> Option 14}"
id_79192121,Mercado,Donald,d.mercado@student.example.com,Finished,8/08/2025 17:57,8/08/2025 18:02,4 mins 19 secs,80,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 2   ; Option 3,Option 1   ; Option 2,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4,Option 3   ; Option 4,Option 13   ; [[Drop zone 1]] -> {Option 13},{Drop zone 1 -> Option 13},{Drop zone 1 -> Option 13},Option 12   ; [[Drop zone 1]] -> {Option 12},{Drop zone 1 -> Option 12},{Drop zone 1 -> Option 12}
id_38828630,Martin,Robert,r.martin@student.example.com,Finished,8/08/2025 18:19,12/08/2025 13:46,3 days 19 hours,85,Question text 2      : Option 3   ; Option 4   ; Option 5   ; Option 6,Option 3   ; Option 4   ; Option 6,Option 3   ; Option 4,Question text 1   : Option 1   ; Option 2   ; Option 3,Option 1   ; Option 2   ; Option 3,Option 1   ; Option 2,Option 9; [[Drop zone 1]] -> {Option 9},{Drop zone 1 -> Option 9},{Drop zone 1 -> Option 9},Option 12   ; [[Drop zone 1]] -> {Option 12},{Drop zone 1 -> Option 12},{Drop zone 1 -> Option 12}
